evidence_uuid,evidence_id,scope,type,issuer,date,summary,product_uuid,stage_uuid,file_reference,link_reference
952a2a4e-3156-52d2-8ae9-caa9f6227bd9,5015,product,certification_directory,Protected Designation of Origin,2/10/2022,Product holds Protected Designation of Origin status under EU/UK law.,78405b39-97ea-53d1-b5fe-530d85d69d40,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
3563a84d-0b3d-5512-be75-30c32cd3d69b,5016,product,supplier_statement,The Vegan Society,4/16/2022,Product is registered with the Vegan Society as suitable for vegan consumption.,78405b39-97ea-53d1-b5fe-530d85d69d40,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
ecc624d6-141b-5d91-8cf4-9fe297b396f9,5017,product,supplier_statement,OU Kosher,8/16/2023,Product is certified kosher by the Orthodox Union.,dddbada0-5761-57c9-902c-b60a13e7d9c2,,,https://oukosher.org/product-search/
0c93fd80-feb8-5d64-ae9a-438c434afd74,5018,product,third_party_audit,UTZ Certified,8/7/2023,Product carries UTZ certification for sustainable commodity sourcing.,dddbada0-5761-57c9-902c-b60a13e7d9c2,,,https://www.rainforest-alliance.org/utz/
97ed9344-6755-5594-ba82-4d80d5772192,5019,product,audit_report,Marine Stewardship Council,1/21/2023,Product is MSC certified as sustainably sourced from well-managed fisheries.,dddbada0-5761-57c9-902c-b60a13e7d9c2,,,https://cert.msc.org/supplierdirectory/
26bbfd70-cec8-56a7-a75e-0a63a7156e3f,5020,product,certification_directory,NON GMO Project,6/14/2023,Product verified non-GMO by the Non-GMO Project standard.,0f4da2d5-6632-56c3-9779-5fc1f808e27d,,,https://www.nongmoproject.org/find-non-gmo/
fd7ffa03-5b12-53c0-9c18-4c8465d63cfe,5021,product,supplier_statement,Aquaculture Stewardship Council,1/21/2023,"Product is ASC certified, meeting responsible aquaculture standards.",0f4da2d5-6632-56c3-9779-5fc1f808e27d,,,https://asc-aqua.org/find-a-product/
ea533577-4ec4-5ff5-a59b-54a3e40f621e,5022,product,audit_report,RSPO,6/13/2023,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,0f4da2d5-6632-56c3-9779-5fc1f808e27d,,,https://rspo.org/search-members/supply-chain-certificate-holders/
ffe1a904-bb78-52cf-b433-7630176b00bc,5023,product,supplier_statement,Aquaculture Stewardship Council,5/14/2023,"Product is ASC certified, meeting responsible aquaculture standards.",8ff7461c-f715-50b5-af20-94f94eac627b,,,https://asc-aqua.org/find-a-product/
0242631a-7b62-592a-ade9-4f0067d6ea4b,5024,product,batch_record,LEAF Marque,9/11/2023,Producer holds LEAF Marque accreditation for sustainable integrated farming.,8ff7461c-f715-50b5-af20-94f94eac627b,,,https://leaf.eco/leafmarque
928c46b7-1d1a-51e9-b13d-b8a0ad7ff709,5025,product,audit_report,OU Kosher,3/27/2023,Product is certified kosher by the Orthodox Union.,4a5e0aa7-ba80-502b-aef7-b3c508c3a15d,,,https://oukosher.org/product-search/
86111335-6098-554a-ad37-dc8962d50094,5026,product,certification_directory,Red Tractor,6/11/2023,Product meets Red Tractor standards for food safety and animal welfare.,c95520f4-65c0-569f-b1d4-8da67cf2d449,,,https://checkers.redtractor.org.uk/
fcc0547d-3b58-5427-9db8-373485da8362,5027,product,audit_report,Marine Stewardship Council,6/11/2022,Product is MSC certified as sustainably sourced from well-managed fisheries.,003f4e82-b4e2-5a44-98f2-f1afec956d5f,,,https://cert.msc.org/supplierdirectory/
20f011df-68e0-504e-b03e-319f5d116a38,5028,product,supplier_statement,Red Tractor,9/9/2023,Product meets Red Tractor standards for food safety and animal welfare.,003f4e82-b4e2-5a44-98f2-f1afec956d5f,,,https://checkers.redtractor.org.uk/
eee57464-08e3-5bcd-b4ed-bb7d3ec4211f,5029,product,certification_directory,Soil Association,11/8/2023,Product is certified organic by the Soil Association under EU organic standards.,003f4e82-b4e2-5a44-98f2-f1afec956d5f,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
d74c674a-67de-544f-8c02-b8cbaa2dffb5,5030,product,supplier_statement,NON GMO Project,1/8/2024,Product verified non-GMO by the Non-GMO Project standard.,f9f68da6-9b15-5435-abb9-6b15107c0f7d,,,https://www.nongmoproject.org/find-non-gmo/
cbcc4cd4-00db-5535-b699-c3fd0df7d762,5031,product,batch_record,The Vegan Society,5/6/2023,Product is registered with the Vegan Society as suitable for vegan consumption.,5271b173-1b57-5ace-bb35-4253a712a456,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
f186f454-7ef0-5e6b-8d6a-68a6bb5d68c4,5032,product,audit_report,RSPO,10/25/2023,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,0caebd2f-fcdc-5ed7-81c6-f4c16e982e3c,,,https://rspo.org/search-members/supply-chain-certificate-holders/
f5fdf99d-00a3-51e0-ac4c-d888dfa4468f,5033,product,certification_directory,Fairtrade International,5/11/2022,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",fa0f8c2e-a6fe-5906-a148-ae3a1ecf42a9,,,https://www.fairtrade.net/en/fairtrade-finder.html
3db8ed5a-9637-5fa3-b5b9-a02fb446dc21,5034,product,third_party_audit,Red Tractor,8/30/2023,Product meets Red Tractor standards for food safety and animal welfare.,fa0f8c2e-a6fe-5906-a148-ae3a1ecf42a9,,,https://checkers.redtractor.org.uk/
f0f25db6-c65e-547f-89e1-77a82a97ef5c,5035,product,third_party_audit,Soil Association,2/10/2022,Product is certified organic by the Soil Association under EU organic standards.,fef23aa6-b573-5344-ab81-88eac69e1829,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
229a8fb8-a552-5aa1-ada2-3b9a6b51840c,5036,product,supplier_statement,Soil Association,7/4/2022,Product is certified organic by the Soil Association under EU organic standards.,1723325b-fef7-503e-b9d7-846e7c92802b,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
b582a9d0-8d58-534f-b1e1-5abc0b6b93be,5037,product,third_party_audit,Fairtrade International,2/20/2023,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",1723325b-fef7-503e-b9d7-846e7c92802b,,,https://www.fairtrade.net/en/fairtrade-finder.html
8f3a9335-cfe0-5a00-a424-a1d2e5a00964,5038,product,third_party_audit,Protected Designation of Origin,8/1/2023,Product holds Protected Designation of Origin status under EU/UK law.,1723325b-fef7-503e-b9d7-846e7c92802b,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
2b247831-e804-55a6-9f60-3803309887ab,5039,product,supplier_statement,Fairtrade International,3/29/2022,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",b79bf84a-4cec-5a85-8a73-c88019ba0a54,,,https://www.fairtrade.net/en/fairtrade-finder.html
0afda790-4b0a-5278-aec6-3370bd5dba75,5040,product,audit_report,Rainforest Alliance,4/5/2023,Third-party audit confirms sustainable farming practices at origin.,b79bf84a-4cec-5a85-8a73-c88019ba0a54,,,https://www.rainforest-alliance.org/find-certified/
27f4ba59-454c-5c91-a5ea-4f499018d1d7,5041,product,third_party_audit,LEAF Marque,4/28/2023,Producer holds LEAF Marque accreditation for sustainable integrated farming.,b79bf84a-4cec-5a85-8a73-c88019ba0a54,,,https://leaf.eco/leafmarque
71a70964-7608-5263-920f-c64b7f809fb6,5042,product,batch_record,Soil Association,9/8/2023,Product is certified organic by the Soil Association under EU organic standards.,f4f300ef-b389-5560-bb6e-c3c451b7de68,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
6363d40c-72ee-59cc-ad83-bf2b4f59bde4,5043,product,audit_report,Red Tractor,3/24/2024,Product meets Red Tractor standards for food safety and animal welfare.,f4f300ef-b389-5560-bb6e-c3c451b7de68,,,https://checkers.redtractor.org.uk/
168e49e9-098c-503e-91c7-55edc5c6be7e,5044,product,third_party_audit,LEAF Marque,11/7/2023,Producer holds LEAF Marque accreditation for sustainable integrated farming.,dca58130-590f-5720-8bf7-275a44323630,,,https://leaf.eco/leafmarque
9c9b6b58-fe30-5fb7-b368-4c6a46fafd16,5045,product,third_party_audit,Carbon Trust,9/28/2022,Product has achieved Carbon Trust carbon neutral certification.,dca58130-590f-5720-8bf7-275a44323630,,,https://label.carbontrust.com/search
519e3e06-970c-5271-a7e4-f555f390cf29,5046,product,audit_report,Soil Association,1/12/2024,Product is certified organic by the Soil Association under EU organic standards.,dca58130-590f-5720-8bf7-275a44323630,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
849aad36-aaa8-5b82-9e11-56d1015998d7,5047,product,third_party_audit,Aquaculture Stewardship Council,3/12/2022,"Product is ASC certified, meeting responsible aquaculture standards.",c28fabe1-ef52-5c2b-bed5-17ae0f6fd5b2,,,https://asc-aqua.org/find-a-product/
685ab4b5-58ee-5b48-80c0-ffe21125e5e9,5048,product,audit_report,The Vegan Society,1/23/2023,Product is registered with the Vegan Society as suitable for vegan consumption.,c28fabe1-ef52-5c2b-bed5-17ae0f6fd5b2,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
1f991084-4d62-5ff2-9e5a-77a9949b040d,5049,product,batch_record,RSPO,5/16/2022,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,c28fabe1-ef52-5c2b-bed5-17ae0f6fd5b2,,,https://rspo.org/search-members/supply-chain-certificate-holders/
e3f9dc72-78b7-5ce5-b9dd-1c47d94a372f,5050,product,audit_report,Fairtrade International,6/20/2023,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",4a6cf708-9818-59e5-9dac-8a10103e17d7,,,https://www.fairtrade.net/en/fairtrade-finder.html
767b2e05-8091-5153-96ff-47c03a3d0eee,5051,product,third_party_audit,UTZ Certified,4/9/2022,Product carries UTZ certification for sustainable commodity sourcing.,50ede61f-eb51-5ebe-be90-41f1717188a9,,,https://www.rainforest-alliance.org/utz/
b8bba583-ff2e-5f60-a832-4982b263053d,5052,product,audit_report,NON GMO Project,5/3/2023,Product verified non-GMO by the Non-GMO Project standard.,50ede61f-eb51-5ebe-be90-41f1717188a9,,,https://www.nongmoproject.org/find-non-gmo/
a5f5c1e7-e200-5b3c-a02c-f9f8576e4955,5053,product,third_party_audit,Soil Association,9/7/2023,Product is certified organic by the Soil Association under EU organic standards.,50ede61f-eb51-5ebe-be90-41f1717188a9,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
de5317d3-a9e8-5d94-a33a-15fa88c20043,5054,product,third_party_audit,Protected Designation of Origin,5/31/2023,Product holds Protected Designation of Origin status under EU/UK law.,f0a9c0bf-ea75-5fd4-b57c-b6e1c64fb10c,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
0033ea9f-38c2-5906-b3c3-8d31023d5530,5055,product,batch_record,Rainforest Alliance,11/7/2023,Product carries Rainforest Alliance certification for sustainable farming practices.,9cd0f172-1894-5f09-91de-8f321e47c38e,,,https://www.rainforest-alliance.org/find-certified/
0eb85d71-09f2-59e9-a72f-5464d9efc0cd,5056,product,third_party_audit,Protected Designation of Origin,7/7/2023,Product holds Protected Designation of Origin status under EU/UK law.,34bf09a0-b553-5c68-83a0-e6cc2aa62b0a,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
27bd7242-f422-5a50-bec4-c6a285c36e25,5057,product,batch_record,Protected Designation of Origin,6/19/2023,Product holds Protected Designation of Origin status under EU/UK law.,0a1643b2-fff8-573e-a5af-f2575ccd431d,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
2148662f-1ef4-5e62-884f-db41560f56ee,5058,product,certification_directory,Aquaculture Stewardship Council,12/16/2023,"Product is ASC certified, meeting responsible aquaculture standards.",45cbbf5f-794d-5bd9-8dbb-0d6872239325,,,https://asc-aqua.org/find-a-product/
bd0b060e-d386-539f-9845-114b220b421b,5059,product,third_party_audit,LEAF Marque,3/16/2023,Producer holds LEAF Marque accreditation for sustainable integrated farming.,45cbbf5f-794d-5bd9-8dbb-0d6872239325,,,https://leaf.eco/leafmarque
f2635695-db2b-5800-9b0c-6dc303b8cf45,5060,product,batch_record,Carbon Trust,3/19/2024,Product has achieved Carbon Trust carbon neutral certification.,a69a1bd6-2f15-5964-8de3-a83f35b40078,,,https://label.carbontrust.com/search
f56bd6ba-d2ae-5866-8d15-fb134cb5e05e,5061,product,third_party_audit,Aquaculture Stewardship Council,4/11/2022,"Product is ASC certified, meeting responsible aquaculture standards.",dc22a7e0-4d32-58af-b6dd-d2c1f8bb412e,,,https://asc-aqua.org/find-a-product/
31efd877-f561-5af3-9725-e94f43feb98a,5062,product,batch_record,RSPO,5/18/2022,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,dc22a7e0-4d32-58af-b6dd-d2c1f8bb412e,,,https://rspo.org/search-members/supply-chain-certificate-holders/
9e2c08bc-00c6-5008-93c1-68ede84ce80b,5063,product,audit_report,The Vegan Society,5/29/2024,Product is registered with the Vegan Society as suitable for vegan consumption.,e51fe116-5b3f-5e37-8844-13f75f128a04,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
222a045f-33f0-5f43-a0ff-e8c237187b22,5064,product,certification_directory,Carbon Trust,10/18/2022,Product has achieved Carbon Trust carbon neutral certification.,e51fe116-5b3f-5e37-8844-13f75f128a04,,,https://label.carbontrust.com/search
17602e3e-9e63-57e3-b635-3c324789bd94,5065,product,supplier_statement,Protected Designation of Origin,7/13/2022,Product holds Protected Designation of Origin status under EU/UK law.,da1cf73c-7c33-50a7-89fd-5fd7674a2975,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
1fd06bb2-67bb-5f05-913b-6213a7844ee3,5066,product,certification_directory,OU Kosher,12/28/2023,Product is certified kosher by the Orthodox Union.,da1cf73c-7c33-50a7-89fd-5fd7674a2975,,,https://oukosher.org/product-search/
1ac3ccd0-cdf3-57d3-b1d0-6ea48f09c928,5067,product,certification_directory,NON GMO Project,8/15/2023,Product verified non-GMO by the Non-GMO Project standard.,da1cf73c-7c33-50a7-89fd-5fd7674a2975,,,https://www.nongmoproject.org/find-non-gmo/
7f6b8306-9f12-5992-a551-4a2deb079acb,5068,product,batch_record,Rainforest Alliance,11/2/2023,Product carries Rainforest Alliance certification for sustainable farming practices.,0ffc06bd-a24e-5806-8739-f931ffaa9fac,,,https://www.rainforest-alliance.org/find-certified/
d3165547-6529-5fb1-959d-cbb0608ff2c9,5069,product,audit_report,OU Kosher,12/6/2023,Product is certified kosher by the Orthodox Union.,0ffc06bd-a24e-5806-8739-f931ffaa9fac,,,https://oukosher.org/product-search/
de6254c1-e6ac-5ebd-88b1-d4ce470cf320,5070,product,supplier_statement,Fairtrade International,2/23/2023,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",0ffc06bd-a24e-5806-8739-f931ffaa9fac,,,https://www.fairtrade.net/en/fairtrade-finder.html
18960e94-c32e-507a-b76b-d83df01b4fe9,5071,product,batch_record,Rainforest Alliance,10/30/2023,Product carries Rainforest Alliance certification for sustainable farming practices.,7e0cbcca-70b5-5f88-9534-4bb416b8c23a,,,https://www.rainforest-alliance.org/find-certified/
d882e89d-a57d-5d7a-851e-9d1a1b0fb95e,5072,product,third_party_audit,Soil Association,9/17/2022,Product is certified organic by the Soil Association under EU organic standards.,7e0cbcca-70b5-5f88-9534-4bb416b8c23a,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
00a07ced-67bb-571c-9c52-acae69ae4331,5073,product,batch_record,LEAF Marque,8/2/2023,Producer holds LEAF Marque accreditation for sustainable integrated farming.,6c329b73-7531-533f-a300-caaa89b57081,,,https://leaf.eco/leafmarque
11356316-aeee-5fe8-96fd-3c6e36821e69,5074,product,supplier_statement,OU Kosher,9/19/2023,Product is certified kosher by the Orthodox Union.,6c329b73-7531-533f-a300-caaa89b57081,,,https://oukosher.org/product-search/
126b6dd7-f226-5019-85ab-b0af94649d42,5075,product,audit_report,UTZ Certified,2/28/2023,Product carries UTZ certification for sustainable commodity sourcing.,5fd350b4-729f-5a6a-991c-4bf6de446db1,,,https://www.rainforest-alliance.org/utz/
b49bbdbe-ca65-5156-bd2a-8fa27c933f72,5076,product,third_party_audit,NON GMO Project,3/13/2024,Product verified non-GMO by the Non-GMO Project standard.,5fd350b4-729f-5a6a-991c-4bf6de446db1,,,https://www.nongmoproject.org/find-non-gmo/
81a715ce-58c2-5b25-86d4-955b75fc1a0f,5077,product,third_party_audit,The Vegan Society,7/23/2023,Product is registered with the Vegan Society as suitable for vegan consumption.,9daec94a-9915-51cb-992f-669ca771a941,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
464a9602-92c0-568c-8898-e7e26e8103a4,5078,product,batch_record,Soil Association,9/17/2022,Product is certified organic by the Soil Association under EU organic standards.,9daec94a-9915-51cb-992f-669ca771a941,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
e0aa7119-10c8-5df2-b2f8-1d78942154c7,5079,product,supplier_statement,Aquaculture Stewardship Council,8/15/2023,"Product is ASC certified, meeting responsible aquaculture standards.",9daec94a-9915-51cb-992f-669ca771a941,,,https://asc-aqua.org/find-a-product/
80543298-1286-500f-abf9-fbb1cebda030,5080,product,batch_record,Carbon Trust,1/24/2024,Product has achieved Carbon Trust carbon neutral certification.,b90ac73f-5ca6-573c-9cfb-b26dbd00a3d3,,,https://label.carbontrust.com/search
9fb1508f-d31c-507c-b0c7-76c8c0e0d558,5081,product,audit_report,Rainforest Alliance,5/25/2024,Third-party audit confirms sustainable farming practices at origin.,b90ac73f-5ca6-573c-9cfb-b26dbd00a3d3,,,https://www.rainforest-alliance.org/find-certified/
23f22173-378a-5b6c-91d6-83b076fa699b,5082,product,batch_record,Rainforest Alliance,3/12/2024,Product carries Rainforest Alliance certification for sustainable farming practices.,c4a5d168-7718-56a7-81a7-310962e2aca0,,,https://www.rainforest-alliance.org/find-certified/
ce68c6d9-b1ca-5b33-92dc-684ad9046571,5083,product,audit_report,Rainforest Alliance,4/13/2022,Third-party audit confirms sustainable farming practices at origin.,c4a5d168-7718-56a7-81a7-310962e2aca0,,,https://www.rainforest-alliance.org/find-certified/
7c1aa6c6-68ee-51ff-bac4-b522c2a7ca71,5084,product,audit_report,Red Tractor,6/5/2023,Product meets Red Tractor standards for food safety and animal welfare.,c4a5d168-7718-56a7-81a7-310962e2aca0,,,https://checkers.redtractor.org.uk/
8ed8dff8-6b66-5c9a-b3a3-be6cbdd17f0a,5085,product,third_party_audit,Carbon Trust,9/21/2023,Product has achieved Carbon Trust carbon neutral certification.,961972d1-bc00-5f20-a63f-246f7293f2be,,,https://label.carbontrust.com/search
6a08e9e1-60a3-5761-aa48-c6b02f722dc4,5086,product,certification_directory,Aquaculture Stewardship Council,6/14/2022,"Product is ASC certified, meeting responsible aquaculture standards.",961972d1-bc00-5f20-a63f-246f7293f2be,,,https://asc-aqua.org/find-a-product/
c2866532-c862-5a45-895e-144bf286dedf,5087,product,certification_directory,UTZ Certified,4/23/2024,Product carries UTZ certification for sustainable commodity sourcing.,0f2a198d-c07b-59db-8228-8e0853305cde,,,https://www.rainforest-alliance.org/utz/
acb45844-4f5d-5ce3-a907-11a126ead2c7,5088,product,audit_report,Fairtrade International,4/28/2023,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",0f2a198d-c07b-59db-8228-8e0853305cde,,,https://www.fairtrade.net/en/fairtrade-finder.html
aab08a0d-eeab-5f8f-adef-40870cf1bf23,5089,product,supplier_statement,NON GMO Project,8/16/2022,Product verified non-GMO by the Non-GMO Project standard.,0d60e6a4-e959-5c3e-9cfb-22e204929744,,,https://www.nongmoproject.org/find-non-gmo/
fee0d29b-45a3-56a6-9cd2-25cf3cd2e1d0,5090,product,supplier_statement,Rainforest Alliance,3/23/2022,Product carries Rainforest Alliance certification for sustainable farming practices.,0d60e6a4-e959-5c3e-9cfb-22e204929744,,,https://www.rainforest-alliance.org/find-certified/
2c13b957-cd50-5448-834e-c76f960e255d,5091,product,third_party_audit,LEAF Marque,2/8/2022,Producer holds LEAF Marque accreditation for sustainable integrated farming.,0d60e6a4-e959-5c3e-9cfb-22e204929744,,,https://leaf.eco/leafmarque
cbf0876f-ed92-50fd-ac00-4ddbb46ef2cd,5092,product,third_party_audit,NON GMO Project,10/21/2022,Product verified non-GMO by the Non-GMO Project standard.,9373d074-38f0-5687-bc5a-ea6134f7cacc,,,https://www.nongmoproject.org/find-non-gmo/
76738c71-c726-544a-8eb7-9cfe052329df,5093,product,third_party_audit,Protected Designation of Origin,2/28/2022,Product holds Protected Designation of Origin status under EU/UK law.,9373d074-38f0-5687-bc5a-ea6134f7cacc,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
322d4611-3a91-5df5-89bf-6b7c01400c27,5094,product,audit_report,RSPO,10/18/2023,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,9373d074-38f0-5687-bc5a-ea6134f7cacc,,,https://rspo.org/search-members/supply-chain-certificate-holders/
9af80511-6af2-56a8-9e8f-e14d7d9c5cf6,5095,product,audit_report,The Vegan Society,5/20/2024,Product is registered with the Vegan Society as suitable for vegan consumption.,e7308a57-b070-56b4-a8b4-1cb1a04ddc8c,,,https://www.vegansociety.com/resources/lifestyle/shopping/trademark-search
9ddb9422-cee6-5681-b5c0-560346e1675a,5096,product,third_party_audit,Fairtrade International,10/20/2022,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",e7308a57-b070-56b4-a8b4-1cb1a04ddc8c,,,https://www.fairtrade.net/en/fairtrade-finder.html
40a1df99-a2e9-5f36-b4ff-1b8cf83d5601,5097,product,third_party_audit,Fairtrade International,6/7/2023,"Product is certified Fairtrade, ensuring fair prices and working conditions for farmers.",5d54ca08-03f8-5abc-b2b0-27ea16e6009d,,,https://www.fairtrade.net/en/fairtrade-finder.html
80eef314-37fe-5e99-8c79-856c7c1c341f,5098,product,audit_report,Rainforest Alliance,11/22/2023,Third-party audit confirms sustainable farming practices at origin.,65900a67-9ec2-5bf6-9dd1-babae5f7faa9,,,https://www.rainforest-alliance.org/find-certified/
7099b821-42c1-5c49-aba0-2267967fced9,5099,product,certification_directory,Red Tractor,1/4/2023,Product meets Red Tractor standards for food safety and animal welfare.,65900a67-9ec2-5bf6-9dd1-babae5f7faa9,,,https://checkers.redtractor.org.uk/
77b54b88-57e1-54ad-a1cb-f01004b451f8,5100,product,audit_report,RSPO,11/2/2023,Palm oil ingredients sourced from RSPO-certified sustainable plantations.,65900a67-9ec2-5bf6-9dd1-babae5f7faa9,,,https://rspo.org/search-members/supply-chain-certificate-holders/
9edd8c5b-1669-5449-bf9a-a0d584df55dd,5101,product,certification_directory,Soil Association,10/10/2022,Product is certified organic by the Soil Association under EU organic standards.,a18bacfc-19ac-5525-a85c-65870082cf1d,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker/
7478e05b-44b1-5190-b9d5-8a85c274d7a1,5102,product,batch_record,Aquaculture Stewardship Council,2/20/2023,"Product is ASC certified, meeting responsible aquaculture standards.",f48bad2d-832a-589f-8ecf-a087520b9e6c,,,https://asc-aqua.org/find-a-product/
41e6a840-8614-5a7f-9819-933ada8707e3,5103,product,third_party_audit,UTZ Certified,7/25/2022,Product carries UTZ certification for sustainable commodity sourcing.,f48bad2d-832a-589f-8ecf-a087520b9e6c,,,https://www.rainforest-alliance.org/utz/
