node_uuid,node_id,org_name,role,country,city
2356a5e7-0b76-5a6e-aeae-53c0b65ea4f1,2022,tunisian olive groves,olive grove,tunisia,
9c0f6e76-dba4-57cc-9b5a-7c6f5b1c1c40,2023,tunisian olive oil mills,olive oil mill,tunisia,
2b4278e2-e71a-55f9-97c6-29a1cf9e2ee6,2024,greek olive groves,olive grove,greece,
e2bb7fb2-6b33-5c95-8f65-4f46b5d9f6cb,2025,greek olive oil mills,olive oil mill,greece,
1f1a1b50-5b6f-5d51-9d8f-67c3d8a8b2b7,2026,british rapeseed farms,farm,united kingdom,
409fc19e-4b6f-55e8-a442-1fa2c0d8d6d6,2027,british rapeseed oil mills,food plant,united kingdom,
9d8518b0-c0b9-582b-a9b1-1f066f77c5fc,2028,Tesco PLC,retailer,united kingdom,
0ebfb33d-b894-5771-918e-632c9379113d,2029,Sainsbury's,retailer,united kingdom,
3463d30c-175a-54f6-b3c4-902bd313c4be,2030,Waitrose and Partners,retailer,united kingdom,
a32dd69e-0a60-56f9-b807-9356c46df8b4,2031,ASDA Stores,retailer,united kingdom,
0bd700ff-a0c0-58bb-9b35-fc283d9cd3ff,2032,Aldi UK,retailer,united kingdom,
4173ab46-b88e-5c37-b38a-dd95e4580f2d,2033,Lidl UK,retailer,united kingdom,
39618516-09dc-5856-9d5c-fd79bd0fd05b,2034,Marks and Spencer,retailer,united kingdom,
790f93aa-9203-5d4e-a835-8e44ad6bad68,2035,Co-op Food,retailer,united kingdom,
096c265c-d191-5bd1-bef5-bb32ea1583bd,2036,Morrisons,retailer,united kingdom,
da074142-bbb3-59ba-88f1-cd35ccb7cfba,2037,Ocado Retail,retailer,united kingdom,
6adacd0c-daae-58e4-9049-cd3b893f8764,2038,Booker Wholesale,distributor,united kingdom,
4ff5d4b7-19c0-551f-905c-e925106ffbba,2039,Bidfood UK,distributor,united kingdom,
7325d674-5b55-50c0-af28-4f2299cace1a,2040,Brakes Brothers,distributor,united kingdom,
c44c2104-37a0-5a7e-b21b-4502f5382882,2041,DHL Food Logistics,distributor,united kingdom,
01b19b67-943f-5aaa-8e22-ac99770bd52e,2042,Kuehne+Nagel Food,distributor,united kingdom,
93cdd118-6620-5025-9210-7a01fc5a0a6a,2043,Golden Harvest Co,farm,vietnam,
3846ecf5-b4cc-577b-a5dd-cfe51bd5b12d,2044,Bucaramanga Farmers Union,cooperative,brazil,
99daba6b-a852-5de3-86f8-4e4837aace26,2045,Oromia Cooperative,cooperative,vietnam,
700afa92-35dd-5f54-8b89-225754f7720d,2046,Monmouth Coffee,roaster,colombia,
72093812-6992-5e2a-b399-b7b8fe8404a0,2047,Square Mile Roasters,roaster,colombia,
107ed033-bffd-525b-9859-112982397af5,2048,Sunrise Agricultural,farm,vietnam,
d0514e5c-d1f2-554f-b2cc-65acce57c157,2049,Yirgacheffe Cooperative,cooperative,vietnam,
50c069fa-57c5-5283-96b8-172478cba003,2050,Oromia Cooperative,cooperative,colombia,
f939b899-0898-5a02-a98a-97a325f219ec,2051,Has Bean Coffee,roaster,ethiopia,
027e9790-8866-5cf2-afcd-ffa39c869a5e,2052,Square Mile Roasters,roaster,ethiopia,
ca78a04e-5aea-5dcd-a535-43e86c420556,2053,Golden Harvest Co,farm,brazil,
5fbf5418-8344-594c-b00f-a6e42e8f6af7,2054,Bucaramanga Farmers Union,cooperative,kenya,
ebd48fcb-e753-5440-93ca-f253ce86b67b,2055,Huila Growers Union,cooperative,costa rica,
861e5607-7c8e-5071-ba2e-3a0450cb6365,2056,Monmouth Coffee,roaster,brazil,
0262eea2-ef2b-5897-8f62-090e84f9f82c,2057,Has Bean Coffee,roaster,kenya,
aecd38a0-23f1-5486-a0bb-8a403b7704c4,2058,Highland Fields,farm,colombia,
6f4a171c-41aa-5135-b9a3-8e14050b9b64,2059,Huila Growers Union,cooperative,vietnam,
af0edc82-e2bf-5b33-bd69-a636bfcdc539,2060,Huila Growers Union,cooperative,costa rica,
0291f084-f8ec-59e1-8ba6-06a6e569911d,2061,Tchibo Roasters,roaster,vietnam,
c75a1838-a321-567c-8107-ce6cfaaa6b55,2062,Union Hand-Roasted,roaster,costa rica,
ba3fa82e-91a5-5fc2-8b98-93d104ab1161,2063,Meadowbrook Farm,farm,kenya,
f5905f48-bf3f-5122-bd8e-1c87ebad0e3f,2064,Minas Gerais Coop,cooperative,kenya,
3acdf86f-2521-5c58-9d3b-2eb2a8ad0e3a,2065,Minas Gerais Coop,cooperative,colombia,
69240fbb-4d71-5ccf-af7c-3d0bb3e965eb,2066,Square Mile Roasters,roaster,ethiopia,
44db27bc-6bf4-5106-a251-5128f7c8ca3b,2067,Square Mile Roasters,roaster,vietnam,
4b5bdfb5-f887-5428-960a-ea0db3fb09cd,2068,Cedar Grove Estate,farm,ethiopia,
713688e7-b48b-5fbd-b441-15b4f48f4d5d,2069,Minas Gerais Coop,cooperative,brazil,
d0cd5894-ebe6-5260-a1f7-5c03e68cd205,2070,Cauca Cooperative,cooperative,ethiopia,
6ada1d7b-52be-554d-8b1d-13f5fc3834ab,2071,Square Mile Roasters,roaster,brazil,
d837cd66-9a1d-529a-a6ac-cb9fa7850893,2072,Monmouth Coffee,roaster,brazil,
fd500181-3ebd-58ad-b343-0307aaa83522,2073,Golden Harvest Co,farm,nigeria,
6c9a5070-de4a-55ad-97af-96c66d86d927,2074,Antioquia Producers,cooperative,nigeria,
bad3eebd-4a49-51f0-935b-30d3ba6208f5,2075,Antioquia Producers,cooperative,cameroon,
c2c0db91-6de4-5cc7-8588-ec9fd5d64e3d,2076,Ecuadorian Fine Cocoa,fermentation plant,ghana,
1287c7f5-ad18-5460-a907-154695df1ab6,2077,West Africa Cocoa Ltd,fermentation plant,ecuador,
88c3612e-ee27-5608-aa8e-a68bc5b5c3bc,2078,Iberian Food Industries,factory,nigeria,
b06ab02c-1dea-5d00-9aed-74f4a76828c3,2079,European Foods Manufacturing,factory,cameroon,
152b9d4d-3c98-5bde-9142-40494bbfcd15,2080,Sunrise Agricultural,farm,ecuador,
389bb77c-59c5-5b34-9e47-d99c30655262,2081,Huila Growers Union,cooperative,cameroon,
d2aaf108-ae74-55b6-9f3f-900ab1cfd9c8,2082,Yirgacheffe Cooperative,cooperative,cameroon,
a5845e3f-e66a-5be3-b042-a239a7f34231,2083,Ecuadorian Fine Cocoa,fermentation plant,ecuador,
e578b91b-557b-56f9-bc90-32f8151e409e,2084,Ghana Cacao Processing,fermentation plant,ghana,
0f585b72-5e71-521f-8080-61a86a9f0170,2085,Continental Confections,factory,cameroon,
51d141aa-9506-5509-8f4b-385cebd46eda,2086,British Food Processing,factory,ghana,
4f14cd93-d107-53d4-a612-7bb96a937fe6,2087,Sunrise Agricultural,farm,ecuador,
c7784b45-6ba9-59d2-80bd-a613b0a7aab5,2088,Cauca Cooperative,cooperative,ecuador,
68d91cf5-ff09-5c7a-9b6c-adb7fb80d8e4,2089,Oromia Cooperative,cooperative,ecuador,
9fa0921e-6367-57c3-bc8f-68fed0a897d7,2090,Ecuadorian Fine Cocoa,fermentation plant,ghana,
6602b575-96b0-5c3a-afb5-dd5ea53e9929,2091,Ivory Coast Fermenters,fermentation plant,ghana,
903a19f1-5393-55fa-ae9d-4adf19154e4a,2092,Iberian Food Industries,factory,ivory coast,
775dd4f2-8bec-5f1f-9145-211791bd7a85,2093,Iberian Food Industries,factory,cameroon,
05996e28-0fca-5b80-ad28-aa6bad38e420,2094,Evergreen Growers,farm,cameroon,
4040aabd-71d2-5776-aaad-59468ebef381,2095,Bucaramanga Farmers Union,cooperative,nigeria,
4702ceb9-6cd1-5980-a806-0ce5be5a8017,2096,Oromia Cooperative,cooperative,cameroon,
d17e1a2d-982a-53ef-8ee1-c6474034c64a,2097,Ivory Coast Fermenters,fermentation plant,ghana,
562eb118-bbd4-55cd-8b31-abd21e73cbc1,2098,West Africa Cocoa Ltd,fermentation plant,peru,
dc755f10-4d02-5140-a233-16d1be18f659,2099,Alpine Production Group,factory,nigeria,
91ffd45b-d752-566d-b0ba-54c9708ca77e,2100,Alpine Production Group,factory,ecuador,
26efee29-ea0a-544f-887b-7a0118e789b5,2101,Cedar Grove Estate,farm,ecuador,
3f7007d9-1c43-5191-8dbd-be95e98ada74,2102,Huila Growers Union,cooperative,ghana,
0586602a-77c0-59c7-a110-3c0ac6f26080,2103,Minas Gerais Coop,cooperative,ivory coast,
d344984d-109d-58f1-967a-c10b8e96dad7,2104,Ecuadorian Fine Cocoa,fermentation plant,peru,
5ea06734-4145-5639-b75e-87aa70440c55,2105,Ecuadorian Fine Cocoa,fermentation plant,ecuador,
60446dfd-8a66-59af-a9c8-71d6ee6c5da4,2106,Iberian Food Industries,factory,nigeria,
1da372c8-d952-5ca1-ac47-72dd9480bf08,2107,Continental Confections,factory,cameroon,
24ae9efe-971c-54ce-bc62-21043d039183,2108,Blue Ridge Farm,farm,peru,
7f35946d-8672-5c68-9cd2-ec078b48fd92,2109,Huila Growers Union,cooperative,ecuador,
0acb0d3a-9ce6-5757-890a-d3cc75499177,2110,Oromia Cooperative,cooperative,cameroon,
68c37bf6-5a85-574f-80f1-2c427a28ca52,2111,Ghana Cacao Processing,fermentation plant,nigeria,
a78a2f12-9d1f-54ec-85f7-8f4aec08463d,2112,Ecuadorian Fine Cocoa,fermentation plant,ghana,
ae0f6681-9635-54d5-b593-14f53cac9ac9,2113,Continental Confections,factory,ecuador,
155dc067-8576-5ab9-93f0-6f447a354178,2114,Nordic Consumer Goods,factory,ghana,
5bed2ac1-e6e0-54c6-9a35-d36a20cc7976,2115,Highland Fields,farm,ivory coast,
5d5f5556-66f6-5c76-a96e-fa018ba4aa13,2116,Sidama Coffee Union,cooperative,nigeria,
6a4571ea-0d90-54e3-a9fd-35fdd7f35acd,2117,Sidama Coffee Union,cooperative,nigeria,
0c62e1d1-1cb5-5633-b979-b73bdf98bf81,2118,Ghana Cacao Processing,fermentation plant,ivory coast,
cbca4d53-f3ed-53e2-92ff-7e32327b195d,2119,West Africa Cocoa Ltd,fermentation plant,ivory coast,
833cc820-1523-5fae-abc4-3dfdb5285f7e,2120,Continental Confections,factory,ecuador,
203d8246-d14e-5b01-bea2-eb6c4c7e4e6d,2121,Alpine Production Group,factory,ivory coast,
049ec500-7d05-5758-814b-fb75b44728b0,2122,Green Valley Farm,farm,ecuador,
b5aab403-6437-5739-ad5e-d7d6e39e5e94,2123,Antioquia Producers,cooperative,ivory coast,
bd082fe1-bd71-588d-9a78-08b5a116baf8,2124,Minas Gerais Coop,cooperative,ghana,
5c8bedf0-e4d9-5eba-b470-b3d7c9c8867f,2125,Ecuadorian Fine Cocoa,fermentation plant,cameroon,
04233726-2e5f-5b1b-a35a-45a400c91f8e,2126,West Africa Cocoa Ltd,fermentation plant,nigeria,
d70b53eb-433a-5ba7-8c7d-73898f69ab94,2127,European Foods Manufacturing,factory,cameroon,
a64449df-c0ea-5daf-a7b0-5a514054a669,2128,Nordic Consumer Goods,factory,peru,
5fe47fb5-8ee4-584b-9dc3-346d85caa377,2129,Kenyan Highland Estate,estate,malawi,
c2bef029-63be-5c38-a658-6bcc0d8a2c72,2130,Continental Herbs Ltd,processor,sri lanka,
955c8062-e6d9-5ad7-8f9d-1638de2577fe,2131,TeaPro Processing Ltd,processor,malawi,
92e29e8a-e40d-5b73-974e-11ea0012bac8,2132,Clipper Blending Co,blender,india,
d558d95b-373e-56d7-9356-0048e21c371e,2133,Clipper Blending Co,blender,china,
a634abc1-4344-5e5e-900e-5f7254c05b3d,2134,Kenyan Highland Estate,estate,sri lanka,
4749e7b4-22be-5f17-bbe6-c8a2ba9e8225,2135,Pacific Processors Inc,processor,malawi,
8ee13622-4fbb-50b3-a392-80d11bf6e214,2136,Nordic Seafood Processing,processor,indonesia,
bf3a71b1-f337-5110-8ade-e879b8afee7e,2137,Yorkshire Tea Blenders,blender,china,
4c844dda-ffbd-564a-aa83-9432fbf3762c,2138,Clipper Blending Co,blender,china,
67c3d001-fbb1-5a4d-8a14-9979be7bbad5,2139,Rift Valley Gardens,estate,sri lanka,
1b35a9a8-38b1-5717-af4f-bc100e58f572,2140,Continental Herbs Ltd,processor,china,
e4db72f3-51b5-59c3-bfde-6f775b2dae5b,2141,TeaPro Processing Ltd,processor,china,
b1287e70-3260-5aaf-81ca-d3495a756c81,2142,Clipper Blending Co,blender,sri lanka,
f8c4e3a9-cd0c-52c7-a623-3c73e59918ee,2143,Yorkshire Tea Blenders,blender,sri lanka,
e2bf0cec-0e1b-5f65-8600-047aabfed5b4,2144,Nuwara Eliya Estates,estate,malawi,
712fa136-0325-5da0-b8f0-f6aed51529c6,2145,Pacific Processors Inc,processor,kenya,
43e7961d-9874-5c2c-9a17-e40df01104c7,2146,Pacific Processors Inc,processor,india,
821edbff-238f-5761-af22-d81cbe63cb98,2147,Yorkshire Tea Blenders,blender,indonesia,
28ca466a-1cef-57aa-8014-fc9217044a59,2148,Twinings Blending House,blender,malawi,
68ead86f-239d-5f11-8891-cb707c4d49f2,2149,Assam Tea Estate,estate,sri lanka,
2420e528-9770-565d-bc5c-c0db12e48d3a,2150,Pacific Processors Inc,processor,indonesia,
a0988825-88bc-5752-971f-f34017b72182,2151,Spice Masters Ltd,processor,kenya,
a760b3d2-fbea-5804-be33-bdb304c536c0,2152,Clipper Blending Co,blender,malawi,
c9b7b350-d8ea-5b94-a01b-dfcfd343ff17,2153,Twinings Blending House,blender,kenya,
e1a1dd48-1402-5f0b-8b98-1c06d05f9448,2154,Rift Valley Gardens,estate,indonesia,
1d51ae38-41e4-5942-afbf-0000ea7ac791,2155,Pacific Processors Inc,processor,indonesia,
a27f853a-d719-5f3c-92c2-1a5d9df87c3a,2156,Pacific Processors Inc,processor,malawi,
fcf0e890-d1ec-5a3d-b114-22dc415ba9b9,2157,Yorkshire Tea Blenders,blender,india,
2f767623-0a9f-598a-9f2b-974ee4b10b56,2158,Tetley Blend Centre,blender,india,
082e71a2-68be-5214-8473-73aba6e7e76c,2159,Darjeeling Highlands,estate,india,
8f1587ba-0880-51ab-90d0-c5afcec4a3a3,2160,TeaPro Processing Ltd,processor,malawi,
6026ce9a-169d-5cab-ab8a-512c030e3f1e,2161,Pacific Processors Inc,processor,india,
80a1c730-614a-5efe-9c60-bee6233b887d,2162,Clipper Blending Co,blender,kenya,
019b8cda-19cc-5037-a174-4e2e879a659d,2163,Clipper Blending Co,blender,china,
a673cba2-104c-535a-9ac4-35720440a847,2164,Darjeeling Highlands,estate,india,
f19d0d35-1eae-5f37-b8ee-dc66e0b85c85,2165,Pacific Processors Inc,processor,kenya,
7b56af05-db3e-5a16-8e89-8e47f632a723,2166,TeaPro Processing Ltd,processor,india,
9ce8d425-c687-59b9-8735-9f74d40376da,2167,Clipper Blending Co,blender,sri lanka,
51090467-170b-58b9-b04f-75f8e519c3cd,2168,Clipper Blending Co,blender,malawi,
0db0895b-bfda-58b7-bba3-eaf856b181a4,2169,Nuwara Eliya Estates,estate,india,
5001dd61-67d3-55a7-90ec-460104fbca20,2170,Pacific Processors Inc,processor,malawi,
d7a3640e-9436-593a-90fd-9f793b1c7928,2171,Pacific Processors Inc,processor,china,
72eff4a4-5807-54bb-887e-58c6cddf6b35,2172,Yorkshire Tea Blenders,blender,malawi,
9ff095b5-290b-51d5-8297-e3911c959b43,2173,Tetley Blend Centre,blender,india,
57b5489e-b5ae-5f7f-94ba-8c0547353fb8,2174,Athenian Groves,orchard,spain,
dfa07519-36bb-55dc-a4dd-f408aa4fe8da,2175,Florida Fresh Juice,pressing plant,south africa,
b6309684-5dce-573a-897a-c07c5d34a17f,2176,Iberian Juice Co,pressing plant,brazil,
8035ecff-93b9-5ebb-aa00-4fcb3c4767f1,2177,Refresco UK,packaging facility,united states,
8f5a854e-4503-5c32-a33d-3571620f9d04,2178,Tropicana Packaging,packaging facility,spain,
d6df461f-b129-5144-8a2a-3c80190c5224,2179,Provencal Orchards,orchard,mexico,
4173a7cd-179e-5415-bfbc-c47cbf70349c,2180,South African Citrus,pressing plant,brazil,
b14c4ad2-e18c-53f6-9022-2ee9d72c9cd0,2181,Iberian Juice Co,pressing plant,mexico,
2be16618-2ade-52c8-8680-899624235e83,2182,Eckes-Granini Packaging,packaging facility,united states,
2c9307b9-8e19-5609-9f59-69fce5a2fe98,2183,Eckes-Granini Packaging,packaging facility,united states,
5ea334e6-8098-50fe-b4ed-7d5c47f7db5b,2184,Athenian Groves,orchard,united states,
0e204b68-ea11-5f97-8ba6-470b78ae5f66,2185,South African Citrus,pressing plant,brazil,
692d2aae-3b0b-5b2d-8f99-cd96c078df66,2186,Florida Fresh Juice,pressing plant,brazil,
b2de8203-2827-5a76-96ce-c5cd431ac494,2187,Refresco UK,packaging facility,spain,
ca408a5f-5568-507a-889e-57d1580781e5,2188,Innocent Drinks Bottling,packaging facility,mexico,
be4d97b3-b5e9-5286-b0b2-800980a4af0e,2189,Sicilian Grove,orchard,united states,
6af1c40d-30d5-5a87-b524-d207e99aae8f,2190,Florida Fresh Juice,pressing plant,united states,
b2f183d6-73c4-58b8-ada2-1c00185273df,2191,Florida Fresh Juice,pressing plant,mexico,
6f2686e7-b2d2-56e5-9a07-c35a5741dc7b,2192,Innocent Drinks Bottling,packaging facility,spain,
88138b5c-a8e9-5147-85bb-1a6da5169ce5,2193,Eckes-Granini Packaging,packaging facility,spain,
7cd2a16b-e9d6-59a3-8fb4-3fe4f4ed0d97,2194,Provencal Orchards,orchard,south africa,
1daa22ff-45b0-5f06-b8ad-66415bd0ba91,2195,Citrus Global Ltd,pressing plant,mexico,
2caa183c-f00f-5f10-bd8e-7cda64cdcce8,2196,Brazilian Citrus Press,pressing plant,spain,
46648343-a9ec-5b10-983e-c42c85f94a4c,2197,Tropicana Packaging,packaging facility,brazil,
ebf304b3-8c23-52ce-97d1-ad13a78071b3,2198,Tropicana Packaging,packaging facility,south africa,
34193075-5f86-574e-903f-e4d477d4f9e2,2199,Kalamata Growers,orchard,spain,
a6fc5e23-50de-5aeb-8e73-2d5da4b30dbb,2200,Valencia Juice Works,pressing plant,united states,
62d46e3a-9589-59ae-8d56-db6ab1f6e03b,2201,South African Citrus,pressing plant,argentina,
e7ff4ad3-ad8c-58e1-b247-3ea500991a59,2202,Innocent Drinks Bottling,packaging facility,mexico,
ce444b52-89f4-5865-af6b-d99b3b15c363,2203,Innocent Drinks Bottling,packaging facility,mexico,
51e440f2-b42e-5783-824b-d367cb35a5b3,2204,Spanish Orchards,orchard,south africa,
8d91d854-7233-5324-aa71-cf9d908e0e24,2205,Valencia Juice Works,pressing plant,south africa,
72d07508-0463-54e4-9b14-f7de29ecb218,2206,Florida Fresh Juice,pressing plant,brazil,
12d47cc1-303b-5fe9-abdb-5308da125fe3,2207,Refresco UK,packaging facility,united states,
23c1f6d8-83c3-5c70-93ff-1a763cf91236,2208,Eckes-Granini Packaging,packaging facility,brazil,
f3d30603-7522-5fbf-b503-fbf3b74aca01,2209,Alentejo Fields,orchard,brazil,
18ddfce6-4361-5a41-9150-6bcee9b6642a,2210,Valencia Juice Works,pressing plant,united states,
250b85e5-abb2-5771-97d0-4f052aecbe2f,2211,Citrus Global Ltd,pressing plant,argentina,
43b8f1f5-325e-57aa-9e4f-afaedf292fe5,2212,Refresco UK,packaging facility,brazil,
2861da61-00d8-56af-b029-4b36673da92e,2213,Tropicana Packaging,packaging facility,argentina,
f1d2716b-1152-5351-aa0b-9fa9c2f9e1af,2214,Sicilian Grove,orchard,united states,
c1f9efaf-edb5-5116-928f-1124440c42d8,2215,Citrus Global Ltd,pressing plant,south africa,
25bd82b0-0d51-5533-afca-823ab09c87f1,2216,Valencia Juice Works,pressing plant,brazil,
b32c5969-b648-5ae2-a303-a386b401b4b6,2217,Tropicana Packaging,packaging facility,mexico,
b554ffa6-e577-549a-98be-ba0a12dc827e,2218,Tropicana Packaging,packaging facility,brazil,
ca64c8f2-f3bc-5c0a-9b94-759480e98b93,2219,Riverina Apiaries,apiary,australia,
bc6e6503-6cd7-52f6-9753-f4e5f3db0fd0,2220,Continental Herbs Ltd,processor,australia,
b58be026-9fe5-5b92-b274-c2df2c2a2335,2221,Nordic Seafood Processing,processor,ukraine,
e42a9b76-1772-5e4f-b62a-3dbb522f88af,2222,Riverina Apiaries,apiary,australia,
ae6bf159-e18f-573c-a3c9-55b78952545a,2223,Pacific Processors Inc,processor,united kingdom,
aa404455-56a1-57cb-85cb-0da2162f673c,2224,Nordic Seafood Processing,processor,new zealand,
3f9e8de1-3c4b-5bfa-976d-f05521c6064e,2225,Patagonian Honey Coop,apiary,united kingdom,
3934c0d2-e426-59a6-8c75-87e8ff03ec71,2226,Pacific Processors Inc,processor,new zealand,
204b0c3d-4f6f-5456-8a89-1cf8bd963b1e,2227,TeaPro Processing Ltd,processor,united kingdom,
884f1309-be56-5704-ab3c-addd75123f5a,2228,Murray Valley Beekeepers,apiary,united kingdom,
e6ce057e-c223-5427-bca6-8f15978e0b4d,2229,Pacific Processors Inc,processor,united kingdom,
f32530ed-5015-508e-8484-eec542de0d66,2230,Continental Herbs Ltd,processor,argentina,
eab1b0df-2f26-5325-9b6b-15ba88946ad9,2231,New Zealand Honey Group,apiary,ukraine,
420221dc-e02b-5c4f-994c-7a45fa410e06,2232,Spice Masters Ltd,processor,new zealand,
3c337c44-0d25-5972-bcf2-6f90e1620f91,2233,TeaPro Processing Ltd,processor,new zealand,
1f2b2831-fe20-5bc1-9668-ea0ba022089b,2234,Murray Valley Beekeepers,apiary,argentina,
7a9c34f8-2aa2-5711-80b7-5ee6dce46f53,2235,Pacific Processors Inc,processor,australia,
f39babc4-cb29-5bf7-8809-cdadfa2e10d9,2236,Pacific Processors Inc,processor,new zealand,
083a0e18-ca69-52f7-a1b4-025af725838a,2237,Murray Valley Beekeepers,apiary,new zealand,
5d1c4d37-bd06-58da-a84c-23883977a938,2238,TeaPro Processing Ltd,processor,ukraine,
bf69c484-f3b7-52f0-95a7-775ea1057e95,2239,Nordic Seafood Processing,processor,ukraine,
32957aed-952e-557c-8f27-0263b0585c56,2240,New Zealand Honey Group,apiary,china,
325cee67-2260-5656-90d0-37e57b86ab5f,2241,Continental Herbs Ltd,processor,australia,
e7d777c7-2713-514c-a146-5cd9e775eeff,2242,Nordic Seafood Processing,processor,new zealand,
db50b1ee-4065-58a4-8100-9b77dbc2bf04,2243,New Zealand Honey Group,apiary,ukraine,
42457c49-2d4a-5c59-9305-eb661acd64b7,2244,Pacific Processors Inc,processor,new zealand,
6b73289f-17e1-5d3c-b0ad-d0226e0218f9,2245,Nordic Seafood Processing,processor,new zealand,
2272875e-b0b0-51f5-acf7-330354e2e7a5,2246,Riverina Apiaries,apiary,argentina,
32ae4c88-91d9-5843-a76f-a3d1e94a0362,2247,Spice Masters Ltd,processor,argentina,
b82c49c4-417b-5695-99e4-6476bec44182,2248,Continental Herbs Ltd,processor,australia,
9aab8be8-2b9e-52ba-8135-ebf33a8cc39b,2249,Yorkshire Bee Co,apiary,australia,
47c4eaf9-0cd8-5c24-92a2-5ad2a0e195a0,2250,TeaPro Processing Ltd,processor,ukraine,
ac50c6dc-7b25-5ea4-a18b-aa55e2860db2,2251,Pacific Processors Inc,processor,ukraine,
3df6250b-c24c-5313-bdbd-0c820d190970,2252,Murray Valley Beekeepers,apiary,argentina,
800ac61e-ec9f-564f-9bb6-6e849b5a8844,2253,Nordic Seafood Processing,processor,united kingdom,
1f52c24d-4684-55ca-ab4c-5c534070163b,2254,Spice Masters Ltd,processor,new zealand,
7efea223-4476-5411-9cac-6f4614f3681d,2255,Highland Fields,farm,italy,
2d065208-e33b-5334-b1b2-89b1fb47f6f9,2256,Durum Processing Co,mill,italy,
c1b0ca7c-d51f-599b-8016-7382e457f146,2257,Nordic Mills,mill,united states,
8cc9ec04-cbf7-5042-be4e-cc4cff04abf2,2258,Iberian Food Industries,factory,india,
d03512d1-b68e-5b34-ac0b-6b65aff464a1,2259,Alpine Production Group,factory,india,
942bca9d-bbb0-55db-938f-aa622074a4dc,2260,Cedar Grove Estate,farm,india,
5b439108-1f3c-5039-bfa5-680991a6ee82,2261,Mulino del Sole,mill,italy,
fdc25907-a3b7-5930-8c0e-017de7e19def,2262,Continental Flour Co,mill,thailand,
5a62fdee-619a-5f37-872c-a002ac9e779e,2263,European Foods Manufacturing,factory,india,
6d0b048f-96a0-50a0-a8db-57b742972e66,2264,Alpine Production Group,factory,france,
8f73e221-e68e-54e5-a539-6907f3d6379b,2265,Highland Fields,farm,united states,
706cab2c-d1f0-5166-b0c6-ccb78a35770d,2266,Durum Processing Co,mill,india,
f33bdca7-84e9-505a-a076-15693500fc51,2267,Continental Flour Co,mill,italy,
315a6286-eb3f-5bc4-8c9a-e842fff0eba4,2268,Alpine Production Group,factory,india,
0bb7b866-65ec-58d9-9022-25989916830c,2269,Alpine Production Group,factory,india,
5423f4b6-f151-5b24-832e-7c217fe0bfd8,2270,Highland Fields,farm,canada,
2027dd73-238a-5a1a-8ee9-5b0899688266,2271,Nordic Mills,mill,canada,
624265bf-3887-5741-9ce3-ab1715a96d9a,2272,British Milling Group,mill,france,
1a2cd1fe-214c-56a5-b47a-6040af60f508,2273,European Foods Manufacturing,factory,france,
5000c559-da37-54af-8e5d-7e32c14fafd5,2274,Iberian Food Industries,factory,india,
1fb2973d-d528-5697-bf4e-1b12eac06f0b,2275,Cedar Grove Estate,farm,france,
f4291fed-354d-533a-a7c7-e451cd8af3de,2276,Allied Grain Millers,mill,france,
a0c9fa1a-5374-5ba4-9100-3d3ae7edb27a,2277,Nordic Mills,mill,france,
ca019494-092d-5c23-8c19-9331d1ee2493,2278,European Foods Manufacturing,factory,united states,
038e1089-4831-593c-8764-3dde2b37b132,2279,Nordic Consumer Goods,factory,france,
